gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,1,1,0.9323512010464876,1,1,0,0,0,0,0,1,0,0,0.6957836292263451,1.0929824445029381,1,0,0,0,0,0
1,0,1,1,1.625897603642114,1,1,1,1,1,0,1,1,2,1,0.6324651058547562,1.6461743500485844,0,0,1,0,0,0
1,0,0,0,-0.5363352985677802,1,0,1,0,1,1,1,1,0,1,1.3989524940371445,-0.1408988027208138,1,0,0,1,0,1
0,0,1,0,1.544303909219099,1,0,1,1,1,1,0,0,2,0,0.010943810654689622,1.0085539664232333,0,0,1,0,0,0
1,0,1,0,-0.985100617894362,1,1,0,0,0,0,0,1,0,1,0.6757883060563699,-0.6601683536764547,1,0,0,1,0,1
1,0,0,0,-0.4955384513562728,1,0,0,0,0,0,0,0,2,0,-1.4970368117476176,-0.8191238895824995,0,1,0,0,1,0
1,0,0,0,1.4219133675845768,1,1,1,1,1,0,1,0,0,1,1.2773142780864615,2.0577493053784957,1,0,1,0,0,1
0,1,1,0,1.1363354371040248,1,0,0,1,1,0,1,1,1,1,1.1106865850033336,1.605192238416942,1,0,0,1,0,0
1,0,1,1,1.5851007564306066,1,0,0,0,1,0,0,0,2,0,0.3808572892992333,1.414023785946697,1,0,0,1,0,0
1,0,0,0,-0.37314790972175044,1,1,0,1,0,0,0,0,0,1,0.4841664590107728,-0.2552313460051896,1,0,0,1,0,1
1,0,1,1,1.625897603642114,1,1,0,1,1,1,0,1,2,1,1.1340144620349715,2.165732507424166,1,0,0,0,0,0
0,0,0,0,-1.0258974651058694,1,0,0,0,0,0,0,0,0,1,-1.5220309657100868,-0.94184821953901,0,1,0,0,1,0
0,1,1,0,-0.332351062510243,1,1,0,1,1,0,1,1,0,1,1.3206374782880745,0.08086193026319205,1,0,0,1,0,1
0,0,1,0,1.625897603642114,1,1,1,1,0,1,1,1,2,1,1.477267509786215,2.496764071096657,1,0,1,0,0,0
0,1,0,0,0.7283669649889504,1,1,1,1,0,0,1,0,0,1,0.19090171918446744,0.5340628115461528,0,0,0,0,0,0
0,0,0,0,1.4219133675845768,1,0,0,0,0,0,0,0,2,0,-1.4887054270934612,-0.41738375302442865,0,1,0,0,0,0
0,0,0,0,-0.12836682645270583,1,0,0,1,0,1,1,0,0,0,0.8340846144853413,0.16511280439216414,1,0,0,0,1,0
0,0,0,0,1.2587259787385472,1,1,1,1,1,1,1,0,1,0,1.328968862942231,1.9265665872683253,1,0,1,0,0,0
0,0,0,0,0.27960164566236856,1,0,1,0,1,0,1,1,2,1,1.1940004315448975,0.6881786397947229,1,0,0,1,0,0
0,0,0,0,0.8507575066234727,1,1,0,0,0,0,1,0,0,0,0.6941173522955139,1.005889907162238,1,0,0,0,0,1
0,0,0,0,-1.1890848539518992,1,0,0,0,0,0,0,0,0,1,-0.6422367462311717,-0.9369863113876938,0,0,0,1,0,1
0,1,1,0,1.2995228259500544,1,1,0,1,1,0,0,1,0,1,0.9873820921218188,1.7003879560098356,1,0,0,1,0,0
1,0,1,1,-0.8627100762598398,1,1,0,0,0,0,0,0,2,0,-1.320411457079502,-0.8662999389959555,0,1,0,0,1,0
0,0,0,0,-1.1890848539518992,1,0,0,0,0,0,0,0,0,1,-1.470376380854317,-0.9656471489372336,0,1,0,1,0,0
1,0,1,0,-1.1074911595288843,1,1,0,0,1,1,1,0,0,0,0.11092042650456634,-0.8442770491050622,0,0,0,0,0,1
1,0,0,0,-1.1890848539518992,1,0,0,0,0,0,0,0,0,0,-1.4803740424393048,-0.9705312575823914,0,1,0,1,0,0
1,0,1,1,0.9323512010464876,1,0,0,1,1,1,1,1,1,1,1.3023084320489307,1.511839161812903,1,0,0,0,0,0
1,1,0,0,1.625897603642114,1,1,1,1,1,1,0,1,2,1,1.4256129249304452,2.4407078241465503,1,0,0,0,0,0
1,0,1,0,0.8915543538349802,1,1,1,1,0,0,1,1,1,0,1.3972862171063132,1.559148414189409,1,0,0,0,0,1
1,0,0,0,-1.1074911595288843,1,0,0,0,0,0,0,1,0,1,0.5124931668349044,-0.816659634766079,1,0,0,1,0,1
0,0,0,0,0.11641425681633881,1,0,1,1,1,0,0,0,1,0,-0.11402695915765627,-0.10238094590559205,0,0,0,0,1,0
1,0,0,0,-1.1890848539518992,1,1,0,0,0,1,1,0,0,1,-0.03404566647775495,-0.9307035716305135,0,0,0,1,0,1
0,0,1,0,0.4019921872968909,1,1,0,1,1,1,0,1,0,1,1.160674892928272,0.8375213618673437,1,0,0,1,0,1
0,1,1,1,1.3811165203730693,1,1,1,1,1,1,1,1,1,1,1.7205439416875814,2.491102945167042,1,0,0,1,0,0
1,1,0,0,-1.1074911595288843,1,0,0,0,1,0,1,0,0,1,0.6741220291255382,-0.8153054046417397,1,0,0,0,1,1
0,0,0,1,1.5851007564306066,1,0,1,1,1,1,1,0,2,1,0.4091839971233653,1.4523196378235026,0,0,1,0,0,0
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,0,-1.4803740424393048,-0.9908447094474795,0,1,0,0,1,0
0,1,0,0,-0.5363352985677802,1,0,0,0,1,0,1,1,0,1,1.0423692308392511,-0.21040854893894595,1,0,1,0,0,1
1,0,1,1,-1.1890848539518992,1,0,0,0,0,0,0,1,0,1,0.5224908284198919,-0.8887890392575231,1,0,0,1,0,1
0,0,1,1,1.1771322843155323,1,0,0,0,0,0,0,0,2,0,-1.468710103923486,-0.4199590103100573,0,1,1,0,0,0
0,1,1,0,0.36119534008538345,1,0,0,1,0,0,1,1,0,1,0.9973797537068064,0.7102681311671412,1,0,0,1,0,0
0,0,0,0,-1.2706785483749141,1,1,0,0,0,0,0,0,0,1,-0.49393809938718797,-0.9777020170932366,0,0,1,0,0,0
